"lon","lat"
30.2225,45.862056
29.728051,45.584999
30.135833,45.821222
30.131167,45.902472
30.124972,45.914556
30.101222,45.858333
30.110389,45.828278
30.079917,45.797889
30.026639,45.845389
29.976639,45.850333
29.954972,45.763667
29.927,45.797417
29.9325,45.828667
29.922833,45.811583
29.94075,45.729528
29.890361,45.752417
29.909528,45.756611
29.8925,45.779556
29.88825,45.751194
29.807444,45.740361
29.807,45.706583
29.867028,45.67325
29.831583,45.646194
29.776639,45.653667
29.793722,45.641583
29.768333,45.614472
29.738363,45.620937
29.742417,45.602028
29.7195,45.667444
29.674556,45.699139
29.692861,45.803306
29.671583,45.797861
29.663278,45.820333
29.668722,45.797417
29.654056,45.800333
29.656167,45.825778
29.642472,45.814528
29.631167,45.824111
29.652056,45.794139
29.614556,45.731611
29.642889,45.712444
29.597,45.687444
29.592833,45.563278
29.647444,45.536194
29.713694,45.579111
29.607444,45.476167
29.637444,45.459528
29.627472,45.477028
29.692472,45.467056
29.748278,45.493667
29.7125,45.444528
29.685333,45.434917
29.766667,45.456194
29.799583,45.449972
29.750833,45.426222
29.768722,45.419972
29.750417,45.405778
29.760389,45.340778
29.722056,45.344083
29.762861,45.329972
29.742056,45.271583
29.756222,45.234944
29.735778,45.228694
29.701667,45.247861
29.670778,45.289528
29.677028,45.264111
29.732,45.22575
29.727889,45.210778
29.721583,45.222861
29.677444,45.207861
29.632056,45.217417
29.644472,45.169972
29.68,45.162
29.714556,45.164972
29.689528,45.154917
29.663722,45.107444
29.620417,44.885833
29.589556,44.895
29.608694,44.850833
29.553306,44.824583
29.374194,44.807056
29.330806,44.816194
29.289556,44.809139
29.341639,44.806194
29.142472,44.775417
28.995,44.682861
28.971639,44.747917
29.015778,44.748722
29.124139,44.785417
29.147889,44.821667
29.093278,44.872917
29.099583,44.838333
29.070833,44.825444
29.04375,44.854167
29.037889,44.934111
29.096639,44.956222
29.097056,44.987472
28.973306,45.003667
28.959167,44.983694
28.863333,44.95375
28.865361,44.882444
28.951278,44.829167
28.899556,44.805
28.903306,44.782056
28.915778,44.809583
28.942889,44.806667
28.913722,44.786639
28.940417,44.756639
28.876611,44.75375
28.776611,44.710417
28.715417,44.728333
28.763306,44.707889
28.783552,44.709279
28.775806,44.697056
28.80875,44.692472
28.777028,44.676639
28.7925,44.637861
28.833306,44.642083
28.914972,44.68875
28.890806,44.709556
28.994611,44.680806
28.934139,44.61875
28.924583,44.63
28.983722,44.674139
28.958926,44.689786
28.961694,44.667083
28.940778,44.667056
28.932472,44.684556
28.901667,44.673778
28.773306,44.588722
28.802889,44.6225
28.762056,44.619139
28.76375,44.582528
28.792028,44.581611
28.762528,44.557889
28.743306,44.572889
28.723722,44.549167
28.729944,44.540389
28.758278,44.557917
28.777917,44.551667
28.754583,44.500861
28.762472,44.455389
28.799556,44.516667
28.858306,44.565417
28.90325,44.575417
28.932056,44.614139
28.847472,44.495389
28.750806,44.417917
28.694139,44.347056
28.659111,44.342083
28.627083,44.293333
28.627917,44.243306
28.668694,44.174167
28.637,44.149111
28.641194,44.068333
28.672722,43.981583
28.588611,43.808222
28.543611,43.809083
28.583583,43.797444
28.571056,43.602417
28.610278,43.541556
28.583611,43.484056
28.544028,43.434528
28.499417,43.41075
28.470694,43.361222
28.455694,43.381972
28.322333,43.417806
28.209861,43.395306
28.158194,43.403694
28.09825,43.375333
28.016528,43.222806
27.910361,43.192444
27.949556,43.16325
27.916222,43.061639
27.877861,43.016583
27.891222,43.019972
27.907083,42.932444
27.900417,42.854111
27.882083,42.839167
27.900444,42.700806
27.725806,42.704556
27.714556,42.664139
27.740028,42.655389
27.63625,42.6275
27.632861,42.576611
27.650861,42.551222
27.590028,42.562889
27.561667,42.549528
27.5125,42.552861
27.47875,42.487472
27.446222,42.479139
27.462472,42.440417
27.43686,42.435628
27.419972,42.4445
27.407472,42.432889
27.39325,42.446222
27.396667,42.433722
27.365,42.430417
27.344167,42.406222
27.329111,42.418722
27.306167,42.383278
27.390778,42.393722
27.382889,42.404944
27.406694,42.422028
27.430833,42.396194
27.422889,42.431639
27.4525,42.436222
27.465833,42.424556
27.471639,42.457
27.513333,42.427028
27.532472,42.455417
27.571694,42.44375
27.580028,42.460389
27.613361,42.442028
27.623333,42.457889
27.647083,42.446667
27.645806,42.412861
27.669972,42.407056
27.694167,42.424528
27.698306,42.407861
27.721694,42.40875
27.700389,42.393333
27.718722,42.3775
27.714583,42.346639
27.740861,42.325417
27.7775,42.335417
27.769611,42.319167
27.788806,42.306694
27.75125,42.286639
27.752083,42.245
27.833361,42.192917
27.915028,42.106222
27.940472,42.103333
28.012056,42.006639
28.035472,41.996667
28.057083,41.880833
27.994333,41.883306
27.983556,41.819111
28.042028,41.749139
28.046222,41.721667
28.105361,41.665778
28.091167,41.634972
28.182861,41.566639
28.21075,41.522028
28.624056,41.351111
28.679917,41.347806
28.794861,41.296139
28.965694,41.249417
29.027472,41.242889
29.049167,41.255361
29.109556,41.234139
29.107056,41.205833
29.035389,41.153306
29.069583,41.119972
29.032056,41.045833
28.975611,41.017778
28.986944,41.013167
28.981639,40.998694
28.935833,40.997083
28.869139,40.96625
28.843278,40.970389
28.828333,40.950389
28.769972,40.977889
28.613333,40.957889
28.592889,40.970806
28.595278,41.007361
28.571917,41.018222
28.584444,41.043222
28.551556,41.077806
28.53025,41.072417
28.562833,41.049917
28.569472,41.017389
28.538306,40.982083
28.399083,41.045333
28.225722,41.076194
28.076556,41.055306
28.01325,41.032833
27.959944,40.962861
27.874972,40.962861
27.833306,40.99125
27.727417,41.015389
27.70575,41.002083
27.515806,40.976222
27.468722,40.914139
27.453722,40.849167
27.333306,40.763722
27.292528,40.695417
27.169972,40.625389
27.0325,40.595417
26.985694,40.554556
26.898194,40.537056
26.689917,40.452889
26.692861,40.418333
26.631556,40.400417
26.621111,40.355833
26.582389,40.320389
26.484028,40.279556
26.469889,40.252889
26.417389,40.220417
26.351139,40.2025
26.372361,40.141167
26.288194,40.0845
26.182389,40.039528
26.157,40.052444
26.262,40.192472
26.273639,40.241639
26.220333,40.286667
26.237806,40.308278
26.208639,40.316667
26.582389,40.497917
26.686611,40.507056
26.738194,40.558722
26.751583,40.544556
26.794889,40.557917
26.831944,40.5875
26.808222,40.645417
26.774083,40.656222
26.693194,40.63625
26.602417,40.636194
26.526583,40.592083
26.445722,40.615417
26.406528,40.597889
26.36825,40.607861
26.297417,40.589556
26.136639,40.588806
26.081667,40.607139
26.061222,40.641694
26.065417,40.680861
26.034556,40.731694
26.073306,40.735444
26.061222,40.739167
26.073694,40.760028
26.102,40.770056
26.0675,40.767944
26.067537,40.753269
26.041667,40.738778
26.045333,40.770917
26.010417,40.802528
26.014972,40.815444
26.0475,40.80375
26.055028,40.830417
26.023306,40.832167
26.024111,40.812944
26.004194,40.831306
26.009944,40.812944
25.957472,40.84625
25.948278,40.836194
25.816611,40.849583
25.730778,40.842889
25.589944,40.867056
25.5525,40.857083
25.453333,40.897028
25.379167,40.908722
25.336639,40.942083
25.300806,40.942083
25.265,40.92125
25.25,40.935444
25.129139,40.954583
25.13875,40.994139
25.142528,40.975389
25.165389,40.996639
25.136611,41.012
25.0425,41.002833
24.99,40.92875
24.892417,40.91375
24.813306,40.855417
24.799139,40.873722
24.783306,40.848722
24.693306,40.852889
24.732944,40.859167
24.6625,40.872083
24.625806,40.855417
24.578722,40.913306
24.604167,40.895417
24.590417,40.906667
24.602028,40.913333
24.561222,40.939972
24.564139,40.957083
24.399167,40.93375
24.380833,40.907083
24.318722,40.875
24.340361,40.857472
24.334139,40.842056
24.313306,40.847083
24.309583,40.827472
24.343333,40.824556
24.076639,40.717083
23.917472,40.753778
23.852472,40.779583
23.852472,40.795417
23.733278,40.753694
23.692917,40.670806
23.739944,40.657917
23.782028,40.594972
23.816639,40.582917
23.830806,40.559583
23.880778,40.562056
23.917889,40.535833
23.891667,40.520361
23.833361,40.520389
23.820417,40.506639
23.832083,40.4475
23.871639,40.407917
23.925806,40.383722
24.000833,40.38375
24.002944,40.437528
23.988694,40.440806
24.0125,40.451194
24.069139,40.367889
24.156639,40.360417
24.191667,40.345361
24.196611,40.32125
24.250833,40.309556
24.287056,40.249944
24.376639,40.195389
24.402917,40.155833
24.401639,40.138694
24.308306,40.112889
24.282083,40.161639
24.229972,40.188722
24.224556,40.217472
24.155833,40.28375
24.035778,40.294583
23.9175,40.366222
23.845861,40.37125
23.782444,40.338778
23.734972,40.355417
23.697889,40.321667
23.693778,40.2875
23.735806,40.23125
23.739194,40.24125
23.748278,40.226222
23.759556,40.231611
23.765778,40.199556
23.913306,40.160417
23.995389,40.109972
23.977083,40.085
24.009528,40.054139
23.984583,40.041667
24.019611,40.038306
24.021222,40.01
23.997889,40.004167
23.997444,39.97125
23.968722,39.965833
23.997917,39.955
23.949139,39.93875
23.93,39.937861
23.927028,39.965861
23.904944,39.960417
23.904583,39.985
23.855,40.016222
23.827472,40.023722
23.819139,40.007056
23.770417,40.117472
23.653306,40.224611
23.537528,40.235444
23.496639,40.25875
23.399167,40.280444
23.319139,40.198722
23.290806,40.23875
23.194944,40.257083
23.02,40.323722
22.980806,40.369556
22.941583,40.382083
22.887444,40.374556
22.901222,40.399167
22.851694,40.469583
22.812917,40.479111
22.815361,40.503333
22.910806,40.507056
22.976222,40.54
22.9775,40.555417
22.933667,40.583333
22.949583,40.619167
22.928306,40.637083
22.852444,40.63625
22.853278,40.589556
22.799139,40.560389
22.74375,40.559139
22.755389,40.539167
22.737083,40.536639
22.754167,40.515389
22.736639,40.524583
22.716611,40.50375
22.705,40.522056
22.689583,40.519139
22.695,40.532056
22.665806,40.527889
22.654583,40.501639
22.674528,40.489972
22.654972,40.487028
22.6575,40.473722
22.618333,40.483722
22.585417,40.466667
22.625417,40.379167
22.66375,40.365806
22.607056,40.286639
22.592028,40.212472
22.549556,40.153333
22.59375,40.014972
22.706639,39.95875
22.734556,39.872472
22.853694,39.8025
22.899556,39.641667
22.935417,39.576667
23.095833,39.501278
23.204528,39.368306
23.267889,39.321667
