"","origin","destination","probability"
"1","S27SUR","S27SUR",0.000748968545519
"2","S19SUR","S27SUR",9.63050009664e-05
"3","S20SUR","S27SUR",0.000134493530112
"4","S28SUR","S27SUR",0.000555415009711
"5","S18SUR","S27SUR",0.000163943222108
"6","S5SUR","S27SUR",6.1386863596e-07
"7","S17SUR","S27SUR",0.000210842711502
"8","S6SUR","S27SUR",5.14856545752e-07
"9","S7SUR","S27SUR",2.84373147328e-06
"10","S16SUR","S27SUR",0.000125924369662
"11","S21SUR","S27SUR",0.000170322756323
"12","S8SUR","S27SUR",6.26649247252e-06
"13","S26SUR","S27SUR",0.000194599350092
"14","S9SUR","S27SUR",1.32509335705e-05
"15","S25SUR","S27SUR",9.62746256864e-05
"16","S14SUR","S27SUR",1.65535930457e-06
"17","S22SUR","S27SUR",2.60026396388e-05
"18","S15SUR","S27SUR",4.98536080836e-07
"19","S10SUR","S27SUR",1.25284024212e-06
"20","S11SUR","S27SUR",6.45550286367e-07
"21","S23SUR","S27SUR",8.2566934486e-06
"22","S24SUR","S27SUR",9.55130721623e-06
"23","S12SUR","S27SUR",6.08361816732e-07
"24","S27SUR","S19SUR",7.76305360845e-07
"25","S19SUR","S19SUR",0.00177743098923
"26","S20SUR","S19SUR",0.00153123703951
"27","S28SUR","S19SUR",1.25212492433e-06
"28","S18SUR","S19SUR",0.00122159197606
"29","S5SUR","S19SUR",0.000525533952631
"30","S17SUR","S19SUR",0.000899410595192
"31","S6SUR","S19SUR",0.000462610553061
"32","S7SUR","S19SUR",0.000928302356912
"33","S16SUR","S19SUR",0.000328981529381
"34","S21SUR","S19SUR",0.00023067520273
"35","S8SUR","S19SUR",0.00107812223781
"36","S26SUR","S19SUR",0.000138133231513
"37","S9SUR","S19SUR",0.00115365329907
"38","S25SUR","S19SUR",0.000134939824114
"39","S14SUR","S19SUR",0.000225425541066
"40","S22SUR","S19SUR",6.87998464464e-05
"41","S15SUR","S19SUR",9.17187086117e-05
"42","S10SUR","S19SUR",0.000514844030329
"43","S11SUR","S19SUR",0.00039996551535
"44","S23SUR","S19SUR",1.44090926256e-05
"45","S24SUR","S19SUR",1.4404946334e-05
"46","S12SUR","S19SUR",0.000322375214984
"47","S27SUR","S20SUR",1.41541682178e-06
"48","S19SUR","S20SUR",0.00196912703498
"49","S20SUR","S20SUR",0.00175875040105
"50","S28SUR","S20SUR",2.25345403382e-06
"51","S18SUR","S20SUR",0.00147292407806
"52","S5SUR","S20SUR",0.000409386790952
"53","S17SUR","S20SUR",0.00112321600965
"54","S6SUR","S20SUR",0.000357568716113
"55","S7SUR","S20SUR",0.000777653181205
"56","S16SUR","S20SUR",0.000503369348905
"57","S21SUR","S20SUR",0.000365923728365
"58","S8SUR","S20SUR",0.000944471836494
"59","S26SUR","S20SUR",0.000211515051775
"60","S9SUR","S20SUR",0.00107235377787
"61","S25SUR","S20SUR",0.000210525524042
"62","S14SUR","S20SUR",0.000202984629835
"63","S22SUR","S20SUR",0.00013062162269
"64","S15SUR","S20SUR",7.80108420485e-05
"65","S10SUR","S20SUR",0.000422729057007
"66","S11SUR","S20SUR",0.000321022752223
"67","S23SUR","S20SUR",2.50673236223e-05
"68","S24SUR","S20SUR",2.48172153333e-05
"69","S12SUR","S20SUR",0.000261072305415
"70","S27SUR","S28SUR",0.000816135440097
"71","S19SUR","S28SUR",0.000157500659882
"72","S20SUR","S28SUR",0.000210320945246
"73","S28SUR","S28SUR",0.000673983412318
"74","S18SUR","S28SUR",0.000253476256716
"75","S5SUR","S28SUR",2.00443951327e-06
"76","S17SUR","S28SUR",0.000316170765957
"77","S6SUR","S28SUR",1.66523213174e-06
"78","S7SUR","S28SUR",7.62917126943e-06
"79","S16SUR","S28SUR",0.000212970601198
"80","S21SUR","S28SUR",0.000264253946232
"81","S8SUR","S28SUR",1.47911618024e-05
"82","S26SUR","S28SUR",0.000284697757414
"83","S9SUR","S28SUR",2.84142317232e-05
"84","S25SUR","S28SUR",0.000153374764636
"85","S14SUR","S28SUR",4.30884257988e-06
"86","S22SUR","S28SUR",5.15336745155e-05
"87","S15SUR","S28SUR",1.28462604657e-06
"88","S10SUR","S28SUR",3.74329004249e-06
"89","S11SUR","S28SUR",2.11175383199e-06
"90","S23SUR","S28SUR",1.42381523995e-05
"91","S24SUR","S28SUR",1.62152747773e-05
"92","S12SUR","S28SUR",1.91472882362e-06
"93","S27SUR","S18SUR",4.36369392236e-08
"94","S19SUR","S18SUR",0.00094814695663
"95","S20SUR","S18SUR",0.000811313762611
"96","S28SUR","S18SUR",9.37711721914e-08
"97","S18SUR","S18SUR",0.00140975660934
"98","S5SUR","S18SUR",0.000805673393582
"99","S17SUR","S18SUR",0.000483378980723
"100","S6SUR","S18SUR",0.000737554873615
"101","S7SUR","S18SUR",0.001099634733
"102","S16SUR","S18SUR",0.000121640718346
"103","S21SUR","S18SUR",7.65918688685e-05
"104","S8SUR","S18SUR",0.00113371225058
"105","S26SUR","S18SUR",4.33833840081e-05
"106","S9SUR","S18SUR",0.00105101840839
"107","S25SUR","S18SUR",4.56803143825e-05
"108","S14SUR","S18SUR",0.000379072973114
"109","S22SUR","S18SUR",2.44609950004e-05
"110","S15SUR","S18SUR",0.000215728867309
"111","S10SUR","S18SUR",0.000816635645563
"112","S11SUR","S18SUR",0.000713962266283
"113","S23SUR","S18SUR",3.85388152113e-06
"114","S24SUR","S18SUR",3.87096312533e-06
"115","S12SUR","S18SUR",0.000605970018049
"116","S5SUR","S5SUR",1.3357411077e-05
"117","S6SUR","S5SUR",7.09012626643e-06
"118","S7SUR","S5SUR",9.45227214695e-08
"119","S8SUR","S5SUR",5.84956587375e-08
"120","S9SUR","S5SUR",1.78059061718e-08
"121","S14SUR","S5SUR",6.71854014626e-10
"122","S15SUR","S5SUR",1.41725685858e-09
"123","S10SUR","S5SUR",1.83828421275e-08
"124","S11SUR","S5SUR",3.15324794301e-08
"125","S12SUR","S5SUR",1.47287844237e-08
